"Region Name (GO)","ONS LACode","ONS LA Name","CP","S Ref E","S Ref N","Road","A-Junction","A Ref E","A Ref N","B-Junction","B Ref E","B Ref N","RCat","iDir","Year","dCount","Hour","PC","2WMV","CAR","BUS","LGV","HGVR2","HGVR3","HGVR4","HGVA3","HGVA5","HGVA6","HGV","AMV"
"South West","E06000054","Wiltshire","6016","389200","179080","M4","LA Boundary","381800","180030","17","391646","179560","TM","E","2000","2000-05-03 00:00:00","7","0","9","2243","15","426","127","21","20","37","106","56","367","3060"
"South West","E06000054","Wiltshire","6016","389200","179080","M4","LA Boundary","381800","180030","17","391646","179560","TM","E","2000","2000-05-03 00:00:00","8","5","13","1936","12","292","100","14","14","29","114","24","295","2548"
"South West","E06000054","Wiltshire","6016","389200","179080","M4","LA Boundary","381800","180030","17","391646","179560","TM","E","2000","2000-05-03 00:00:00","9","0","6","1355","17","233","110","19","27","23","141","8","328","1939"
"South West","E06000054","Wiltshire","6016","389200","179080","M4","LA Boundary","381800","180030","17","391646","179560","TM","E","2000","2000-05-03 00:00:00","10","0","13","1070","8","193","109","16","23","28","127","40","343","1627"
"South West","E06000054","Wiltshire","6016","389200","179080","M4","LA Boundary","381800","180030","17","391646","179560","TM","E","2000","2000-05-03 00:00:00","11","0","4","1086","11","221","104","17","15","51","117","60","364","1686"
"South West","E06000054","Wiltshire","6016","389200","179080","M4","LA Boundary","381800","180030","17","391646","179560","TM","E","2000","2000-05-03 00:00:00","12","0","4","1125","10","188","77","18","6","32","124","67","324","1651"
"South West","E06000054","Wiltshire","6016","389200","179080","M4","LA Boundary","381800","180030","17","391646","179560","TM","E","2000","2000-05-03 00:00:00","13","0","7","1095","13","204","75","11","7","34","112","65","304","1623"
"South West","E06000054","Wiltshire","6016","389200","179080","M4","LA Boundary","381800","180030","17","391646","179560","TM","E","2000","2000-05-03 00:00:00","14","0","22","1048","7","166","97","11","19","21","146","31","325","1568"
"South West","E06000054","Wiltshire","6016","389200","179080","M4","LA Boundary","381800","180030","17","391646","179560","TM","E","2000","2000-05-03 00:00:00","15","0","22","1079","7","142","79","13","14","27","138","19","290","1540"
"South West","E06000054","Wiltshire","6016","389200","179080","M4","LA Boundary","381800","180030","17","391646","179560","TM","E","2000","2000-05-03 00:00:00","16","0","8","1872","9","212","93","4","3","44","117","54","315","2416"
